2016/07/08 - ramlat5 -- [ ramlat -s 100 16384 ]


wtap - x86_64 (core i5-3320M @3.3 GHz)
   size:     4B     8B    16B    32B    64B
eeepc - i586 (Atom N2800 @1.86 GHz - 512kB L2)
   size:     4B     8B    16B    32B    64B
     4k:   1687    883    446    227     98 
     8k:   1687    883    446    225     98 
    16k:   1688    882    446    226     98 
    32k:    235    217    150    103     63 
    64k:    235    217    149    103     62 
   128k:    232    215    149    103     62 
   256k:    158    150    118     88     57 
   512k:    104    102     90     74     52 
  1024k:     64     63     62     56     44 
  2048k:     61     61     59     55     44 
  4096k:     60     60     59     54     43 
  8192k:     59     58     57     53     42 
 16384k:     57     57     56     52     41 
 32768k:     56     56     56     52     41 
 65536k:     56     56     55     51     41 
131072k:     56     56     55     51     41 
262144k:     56     55     54     51     41 

GL.Inet - mips (AR9331 @400 MHz - 32kB)
   size:     4B     8B    16B    32B    64B
     4k:    375    191     98     49     24 
     8k:    375    193     98     48     24 
    16k:    370    193     98     49     24 
    32k:    372    192     97     49     24 
    64k:     13     13      7      6      3 
   128k:     13     13      7      6      3 
   256k:     13     13      7      6      3 
   512k:     13     13      7      6      2 
  1024k:     13     13      7      6      3 
  2048k:     13     13      7      6      3 
  4096k:     13     13      7      6      3 
  8192k:     13     13      7      6      3 
 16384k:     13     13      7      6      3 

Odroid C2 - armv7t (S905 @ 2.0 GHz - 32kB L1 + 512kB shared L2 - CA53)
   size:     4B     8B    16B    32B    64B
     4k:   1485    737    385    195     98 
     8k:   1486    737    386    195     98 
    16k:   1486    736    386    195     98 
    32k:   1486    736    386    195     98 
    64k:    201    201    162    125     78 
   128k:    172    188    169    136     84 
   256k:    165    179    162    133     83 
   512k:    134    150    135    113     75 
  1024k:     43     38     19     29     20 
  2048k:     42     26     18     28     12 
  4096k:     40     30     17     28     13 
  8192k:     39     26     14     26     11 
 16384k:     38     28     12     23     12 
 32768k:     38     27     15     21     15 
 65536k:     38     28     20     23     18 
131072k:     38     24     18     20     14 
262144k:     37     30     14     17     13 

Odroid C2 - armv7 (S905 @ 2.0 GHz - 32kB L1 + 512kB shared L2 - CA53)
   size:     4B     8B    16B    32B    64B
     4k:   1485    726    380    194     98 
     8k:   1486    726    373    192     97 
    16k:   1485    726    377    194     97 
    32k:   1485    726    377    194     97 
    64k:    205    197    162    123     76 
   128k:    172    184    168    134     83 
   256k:    165    178    164    133     83 
   512k:     88     97     87     77     60 
  1024k:     44     39     26     30     26 
  2048k:     42     36     15     28     15 
  4096k:     40     31     15     28     14 
  8192k:     39     34     12     26     14 
 16384k:     39     29     16     23     10 
 32768k:     38     31     18     23     13 
 65536k:     38     33     14     23     18 
131072k:     38     32     19     23     13 
262144k:     37     30     17     14     10 

Odroid C2 - armv8 (S905 @ 2.0 GHz - 32kB L1 + 512kB shared L2 - CA53)
   size:     4B     8B    16B    32B    64B
     4k:   1486   1485    754    380    190 
     8k:   1486   1486    748    379    190 
    16k:   1485   1486    754    378    189 
    32k:   1461   1483    753    372    188 
    64k:    202    202    182    142    106 
   128k:    172    171    168    140    111 
   256k:    165    165    161    136    107 
   512k:    110    110    113     98     84 
  1024k:     43     43     31     17     18 
  2048k:     41     42     28     10     17 
  4096k:     40     41     27     10     14 
  8192k:     38     39     21     12     16 
 16384k:     38     38     18     13     17 
 32768k:     38     38     20     10     13 
 65536k:     38     38     18      9     12 
131072k:     36     38     16     12     12 
262144k:     37     36     18     11     16 

Odroid C2 - armv8 (S905 @ 1.536 GHz - 32kB L1 + 512kB shared L2 - CA53)
   size:     4B     8B    16B    32B    64B
     4k:   1486   1486    748    380    191 
     8k:   1487   1487    755    373    191 
    16k:   1487   1455    755    373    188 
    32k:   1472   1483    753    372    188 
    64k:    209    209    182    141    105 
   128k:    173    172    168    140    111 
   256k:    165    166    161    137    108 
   512k:    109    109    109     96     84 
  1024k:     44     44     31     17     23 
  2048k:     42     42     29     15     18 
  4096k:     41     41     25     12     13 
  8192k:     40     39     27     13     19 
 16384k:     39     38     21     14     22 

Odroid C2 - armv8 (S905 @ 1.296 GHz - 32kB L1 + 512kB shared L2 - CA53)
   size:     4B     8B    16B    32B    64B
     4k:   1252   1253    636    320    161 
     8k:   1253   1253    636    320    160 
    16k:   1253   1253    636    320    160 
    32k:   1253   1253    636    320    160 
    64k:    173    173    150    116     86 
   128k:    145    145    141    118     93 
   256k:    139    139    136    115     90 
   512k:     75     75     72     64     58 
  1024k:     40     40     29     18     21 
  2048k:     38     38     27     10     11 
  4096k:     36     36     23      9     15 
  8192k:     35     36     17     13     16 
 16384k:     35     35     15     10     13 

NanoPI3 - armv7t (S5P6818 @1.4 GHz - 32kB L1 - 512kB shared L2 - CA53)
   size:     4B     8B    16B    32B    64B
     4k:   1354    672    352    178     89 
     8k:   1355    666    352    178     89 
    16k:   1340    672    351    178     89 
    32k:   1352    668    351    178     89 
    64k:    184    184    148    114     71 
   128k:    157    171    153    124     77 
   256k:    151    163    148    122     76 
   512k:     78     82     71     67     53 
  1024k:     47     43     33     34     30 
  2048k:     41     35     14     29     16 
  4096k:     40     36     13     29     15 
  8192k:     40     36     14     29     16 
 16384k:     39     35     13     23     17 
 32768k:     38     35     13     18     14 
